2026-07-19 06:08:01 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'TLMUSDT', 'level': 0.001661, 'approach_count': 7, 'block_threshold': 4}
2026-07-19 11:18:16 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.27'}
2026-07-19 11:18:16 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.27'}
2026-07-19 11:18:31 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.26'}
2026-07-19 11:18:47 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.26'}
2026-07-19 11:19:02 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.26'}
2026-07-19 11:19:17 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.22'}
2026-07-19 11:19:52 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.23'}
2026-07-19 11:20:00 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'TLMUSDT', 'level': 0.002014, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.68}
2026-07-19 11:20:00 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'TLMUSDT', 'level': 0.002014, 'close_below': 21}
2026-07-19 11:20:08 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.23'}
2026-07-19 11:22:19 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.19'}
2026-07-19 11:22:19 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.19'}
2026-07-19 11:22:37 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'BANKUSDT', 'level': 0.13358, 'current': 0.16607, 'distance_pct': 19.6}
2026-07-19 11:22:37 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BANKUSDT', 'level': 0.13358}
2026-07-19 11:22:38 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'BANKUSDT', 'level': 0.14541, 'strength': 5}
2026-07-19 11:22:47 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 3, 'new': 0}
2026-07-19 11:23:10 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.20'}
2026-07-19 11:23:35 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.20'}
2026-07-19 11:23:35 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.20'}
2026-07-19 11:24:00 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.20'}
2026-07-19 11:24:15 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.23'}
2026-07-19 11:24:31 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.23'}
2026-07-19 11:25:16 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'SYNUSDT'}
2026-07-19 11:25:16 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'SYNUSDT', 'health': 40, 'broken': 0, 'correction': '121%'}
2026-07-19 11:26:52 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'ESPORTSUSDT', 'level': 0.038326400000000004, 'level_type': 'wick_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-19 11:26:52 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.20'}
2026-07-19 11:26:52 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.20'}
2026-07-19 11:26:52 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'ESPORTSUSDT', 'resistance': 0.038326400000000004, 'from_support': 0.0368}
2026-07-19 11:26:52 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'ESPORTSUSDT', 'level': 0.038326400000000004, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
2026-07-19 11:27:07 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'ESPORTSUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.38,dir_eff=0.21'}
2026-07-19 11:27:37 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'BANKUSDT', 'level': 0.14541, 'current': 0.1702, 'distance_pct': 14.6}
2026-07-19 11:27:37 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BANKUSDT', 'level': 0.14541}
2026-07-19 11:27:38 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'BANKUSDT', 'level': 0.14273, 'strength': 5}
2026-07-19 11:28:30 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'USUSDT', 'level': 0.045125, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.21}
2026-07-19 11:28:31 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'USUSDT', 'level': 0.044259, 'strength': 3}
2026-07-19 11:30:20 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'ESPORTSUSDT'}
2026-07-19 11:32:37 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'BANKUSDT', 'level': 0.14273, 'current': 0.17382, 'distance_pct': 17.9}
2026-07-19 11:32:37 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BANKUSDT', 'level': 0.14273}
2026-07-19 11:32:38 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'BANKUSDT', 'level': 0.1405, 'strength': 3}
2026-07-19 11:32:51 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 3, 'new': 0}
2026-07-19 11:37:29 | INFO | trading.price_tracker:_save_post_exit_range:187 | post_exit_tracker saved | {'trade_id': '4601306e-e49b-4b66-b341-1d626861a5f7', 'high': 0.002179, 'low': 0.001907}
2026-07-19 11:37:38 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'BANKUSDT', 'level': 0.1405, 'current': 0.17581, 'distance_pct': 20.1}
2026-07-19 11:37:38 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BANKUSDT', 'level': 0.1405}
2026-07-19 11:37:38 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'BANKUSDT', 'level': 0.17156, 'close_below': 19}
2026-07-19 11:38:30 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 11:38:30 | INFO | trading.strategy2_signal_filter:check:545 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 6}
2026-07-19 11:38:30 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'USUSDT', 'level': 0.044259, 'distance_pct': 1.9364987924578463}
2026-07-19 11:38:30 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 11:38:46 | INFO | analysis.monitor:start_monitor:126 | monitor: skip level with non-positive p_bounce (won't pass entry filter) | {'symbol': 'ESPORTSUSDT', 'level': 0.037012500000000004, 'level_type': 'wick_level', 'p_bounce': 0.0, 'expected_depth': 0.0}
2026-07-19 11:38:46 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'ESPORTSUSDT', 'level': 0.0368}
2026-07-19 11:38:46 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.0368, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 11:38:46 | INFO | trading.strategy2_signal_filter:check:545 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'ESPORTSUSDT', 'level': 0.0368, 'approach_count': 4}
2026-07-19 11:38:46 | INFO | __main__:_start_resistance_after_bounce:1116 | Resistance monitor started | {'symbol': 'ESPORTSUSDT', 'resistance': 0.037012500000000004, 'from_support': 0.0368}
2026-07-19 11:38:46 | INFO | __main__:_monitored:787 | Level outcome saved | {'symbol': 'ESPORTSUSDT', 'level': 0.037012500000000004, 'result': 'отбой', 'outcome': None, 'duration': 0.0}
2026-07-19 11:38:56 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 6, 'block_threshold': 4}
2026-07-19 11:42:54 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 3, 'new': 0}
2026-07-19 11:43:19 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'HOMEUSDT'}
2026-07-19 11:43:19 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'HOMEUSDT', 'level': 0.008095, 'close_below': 5}
2026-07-19 11:48:17 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'TLMUSDT'}
2026-07-19 11:48:18 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'TLMUSDT', 'level': 0.002035, 'strength': 4}
2026-07-19 11:49:31 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'BANKUSDT', 'level': 0.1634, 'type': 'pump_base', 'strength': 4, 'dist_atr': 3.99}
2026-07-19 11:49:31 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'BANKUSDT', 'level': 0.1634, 'strength': 4}
2026-07-19 11:51:01 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'ESPORTSUSDT', 'level': 0.033065, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.88}
2026-07-19 11:52:57 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 4, 'new': 0}
2026-07-19 11:53:21 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'BUSDT'}
2026-07-19 11:53:22 | INFO | __main__:_run_phase1:575 | Replaced old monitor with closer level | {'symbol': 'BUSDT', 'old': 0.20075, 'new': 0.2043}
2026-07-19 11:53:22 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BUSDT', 'level': 0.20075}
2026-07-19 11:53:22 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'BUSDT', 'level': 0.2043, 'strength': 5}
2026-07-19 11:57:38 | INFO | __main__:_stale_monitor_loop:1179 | Stale monitor cancelled — rebuilding | {'symbol': 'BANKUSDT', 'level': 0.1634, 'current': 0.18606, 'distance_pct': 12.2}
2026-07-19 11:57:38 | INFO | __main__:_monitored:798 | Monitor cancelled | {'symbol': 'BANKUSDT', 'level': 0.1634}
2026-07-19 11:57:39 | INFO | __main__:_run_phase1:601 | Level broken in recent candles, skipping monitor | {'symbol': 'BANKUSDT', 'level': 0.17877, 'close_below': 17}
2026-07-19 11:58:50 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'TLMUSDT', 'phase': 'unknown', 'note': 'unknown:range=14.0%,dir_eff=0.14'}
2026-07-19 11:58:50 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'TLMUSDT', 'level': 0.002035, 'distance_pct': 1.7857142857142925}
2026-07-19 11:58:50 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'TLMUSDT', 'phase': 'unknown', 'note': 'unknown:range=14.0%,dir_eff=0.14'}
2026-07-19 11:58:55 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'TLMUSDT', 'phase': 'unknown', 'note': 'unknown:range=14.0%,dir_eff=0.14'}
2026-07-19 11:59:00 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'TLMUSDT', 'phase': 'unknown', 'note': 'unknown:range=14.0%,dir_eff=0.14'}
2026-07-19 11:59:05 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'TLMUSDT', 'phase': 'unknown', 'note': 'unknown:range=14.0%,dir_eff=0.12'}
2026-07-19 11:59:06 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'TLMUSDT', 'phase': 'unknown', 'note': 'unknown:range=14.0%,dir_eff=0.12'}
2026-07-19 11:59:11 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'TLMUSDT', 'phase': 'unknown', 'note': 'unknown:range=14.0%,dir_eff=0.12'}
2026-07-19 11:59:31 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'type': 'pump_base', 'strength': 5, 'dist_atr': 2.77}
2026-07-19 11:59:32 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'strength': 5}
2026-07-19 11:59:41 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'distance_pct': 1.934703748488518}
2026-07-19 11:59:41 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 11:59:41 | INFO | trading.strategy2_signal_filter:check:545 | S2: level marked dead, monitor will stop sending proximity | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5}
2026-07-19 11:59:56 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:00:11 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:00:26 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:00:42 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:01:07 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:01:22 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:01:37 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:02:13 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:03:01 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 4, 'new': 0}
2026-07-19 12:04:14 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'TLMUSDT', 'phase': 'unknown', 'note': 'unknown:range=14.0%,dir_eff=0.13'}
2026-07-19 12:06:16 | INFO | __main__:_trigger_loop:357 | Trigger activated | {'symbol': 'BANKUSDT'}
2026-07-19 12:06:16 | INFO | __main__:_run_phase1:535 | No strong levels found | {'symbol': 'BANKUSDT', 'total_levels': 1}
2026-07-19 12:06:31 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:06:32 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'TRADOORUSDT', 'level': 0.4797, 'type': 'pump_base', 'strength': 5, 'dist_atr': 3.05}
2026-07-19 12:06:32 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'TRADOORUSDT', 'health': 25, 'broken': 0, 'correction': '133%'}
2026-07-19 12:06:46 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:07:01 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:07:16 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:07:32 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:07:47 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:08:02 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:08:17 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:08:32 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:08:48 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:09:03 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:09:18 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:09:28 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:09:33 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:09:43 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:09:48 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:09:58 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:10:03 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:10:14 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:10:19 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:10:29 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:10:34 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:10:44 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:10:49 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:10:59 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:11:04 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:11:14 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:11:24 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:11:29 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:11:40 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:11:45 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:11:55 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:12:00 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:12:10 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:12:15 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:12:30 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:12:50 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:13:04 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 4, 'new': 0}
2026-07-19 12:13:06 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:13:21 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:13:26 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:13:36 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:13:51 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:14:06 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 5, 'block_threshold': 4}
2026-07-19 12:14:16 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'USUSDT', 'level': 0.044259, 'approach_count': 4, 'block_threshold': 4}
2026-07-19 12:14:21 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'HOMEUSDT', 'level': 0.00811, 'approach_count': 6, 'block_threshold': 4}
